epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,9714.45,0.62102,0.39473,1.01174,0.99547,0.99836,0.995,0.9356,0.41384,0.12028,0.92934,0.0019308,0.0019308,0.0019308
56,9841.11,0.61299,0.38923,1.01301,0.99383,0.99913,0.995,0.93485,0.41999,0.12014,0.9304,0.001911,0.001911,0.001911
57,9968.22,0.61111,0.38199,1.00545,0.99692,0.99936,0.995,0.93423,0.41832,0.11858,0.93043,0.0018912,0.0018912,0.0018912
58,10094.3,0.60877,0.38707,1.0096,0.99689,0.9969,0.995,0.93491,0.42036,0.11999,0.92863,0.0018714,0.0018714,0.0018714
59,10220.7,0.60506,0.38395,1.0065,0.99712,0.99637,0.995,0.93521,0.41594,0.12682,0.9285,0.0018516,0.0018516,0.0018516
60,10347.6,0.6028,0.36944,1.00578,0.99867,1,0.995,0.93848,0.41415,0.11574,0.92713,0.0018318,0.0018318,0.0018318
61,10475,0.60101,0.37188,1.00436,0.9981,1,0.995,0.93824,0.41312,0.11689,0.92671,0.001812,0.001812,0.001812
62,10601.6,0.60018,0.36906,1.00299,0.99575,0.99944,0.995,0.94017,0.41097,0.11649,0.92478,0.0017922,0.0017922,0.0017922
63,10728.7,0.59954,0.37317,1.00171,0.99356,0.99894,0.995,0.94001,0.40928,0.1176,0.92414,0.0017724,0.0017724,0.0017724
64,10855.6,0.59678,0.37597,1.00376,0.99411,0.99909,0.995,0.93996,0.40747,0.11835,0.92111,0.0017526,0.0017526,0.0017526
65,10982.4,0.58599,0.36109,0.99618,0.99816,1,0.995,0.94061,0.40461,0.11376,0.9204,0.0017328,0.0017328,0.0017328
66,11108.6,0.58855,0.37079,0.99875,0.99811,1,0.995,0.93947,0.40158,0.11291,0.91877,0.001713,0.001713,0.001713
67,11235.3,0.58121,0.3658,0.99695,0.98988,0.99991,0.99087,0.93576,0.40017,0.12387,0.91744,0.0016932,0.0016932,0.0016932
68,11362.4,0.58427,0.36718,0.99618,0.99362,0.99343,0.995,0.93931,0.40042,0.12093,0.91735,0.0016734,0.0016734,0.0016734
69,11489.3,0.58705,0.37195,0.99594,0.98663,0.99673,0.98802,0.9327,0.39846,0.12761,0.91664,0.0016536,0.0016536,0.0016536
70,11615.9,0.58054,0.36264,0.99243,0.99031,0.99542,0.98802,0.93182,0.39662,0.12443,0.91577,0.0016338,0.0016338,0.0016338
71,11742.8,0.57622,0.36807,0.99097,0.98925,0.99543,0.98849,0.93547,0.39666,0.1224,0.91461,0.001614,0.001614,0.001614
72,11869.8,0.57612,0.36638,0.99348,0.99605,1,0.995,0.93945,0.39442,0.11271,0.91414,0.0015942,0.0015942,0.0015942
73,11996.4,0.57052,0.36129,0.99244,0.99812,1,0.995,0.94081,0.39362,0.11094,0.91359,0.0015744,0.0015744,0.0015744
74,12123,0.57015,0.36248,0.99322,0.99714,0.99555,0.995,0.93948,0.39216,0.11544,0.91308,0.0015546,0.0015546,0.0015546
75,12249.7,0.56716,0.36261,0.99098,0.99112,0.99586,0.99386,0.93803,0.39207,0.12177,0.91285,0.0015348,0.0015348,0.0015348
76,12376.7,0.5595,0.35246,0.98466,0.99013,1,0.99477,0.93927,0.3895,0.12133,0.91179,0.001515,0.001515,0.001515
77,12503.3,0.56355,0.36016,0.99011,0.99619,1,0.995,0.94068,0.38908,0.11449,0.91161,0.0014952,0.0014952,0.0014952
78,12630.3,0.56113,0.35479,0.98648,0.99504,0.99825,0.995,0.93996,0.3897,0.11102,0.91208,0.0014754,0.0014754,0.0014754
79,12757.6,0.56344,0.36095,0.98643,0.98913,0.99806,0.995,0.93963,0.39091,0.11567,0.91174,0.0014556,0.0014556,0.0014556
80,12884.8,0.55818,0.35602,0.9858,0.9976,0.99541,0.995,0.94037,0.38636,0.1117,0.90984,0.0014358,0.0014358,0.0014358
81,13012.2,0.56431,0.35715,0.98782,0.99855,0.99501,0.995,0.94015,0.38622,0.11255,0.9094,0.001416,0.001416,0.001416
82,13139.1,0.55659,0.35213,0.98713,0.99723,0.99388,0.995,0.94061,0.38499,0.11852,0.9086,0.0013962,0.0013962,0.0013962
83,13266.8,0.55183,0.34971,0.98222,0.99004,0.99771,0.995,0.93947,0.38341,0.1209,0.9082,0.0013764,0.0013764,0.0013764
84,13393.4,0.55506,0.3597,0.9853,0.99585,0.99625,0.995,0.94006,0.38288,0.11022,0.90762,0.0013566,0.0013566,0.0013566
85,13519.2,0.54966,0.35006,0.98346,0.99803,1,0.995,0.94037,0.38334,0.10895,0.90747,0.0013368,0.0013368,0.0013368
86,13645.8,0.54113,0.35828,0.97945,0.99715,1,0.995,0.94139,0.38346,0.10876,0.90697,0.001317,0.001317,0.001317
87,13772.3,0.54774,0.35558,0.98259,0.99769,1,0.995,0.9423,0.38254,0.10846,0.90673,0.0012972,0.0012972,0.0012972
88,13899,0.53602,0.34825,0.97617,0.99742,0.99476,0.995,0.94182,0.38299,0.1111,0.90648,0.0012774,0.0012774,0.0012774
89,14024.9,0.54584,0.35684,0.98072,0.99482,0.99946,0.995,0.94026,0.38216,0.1115,0.90635,0.0012576,0.0012576,0.0012576
90,14150.4,0.5398,0.3469,0.97602,0.99554,0.99765,0.995,0.94122,0.38249,0.11244,0.9062,0.0012378,0.0012378,0.0012378
91,14277.1,0.54387,0.35065,0.98108,0.9955,0.99902,0.995,0.94235,0.38308,0.11019,0.90621,0.001218,0.001218,0.001218
92,14403.4,0.54453,0.34472,0.98263,0.99191,0.99884,0.995,0.9435,0.38276,0.11198,0.90585,0.0011982,0.0011982,0.0011982
93,14529.9,0.53942,0.35311,0.97804,0.99731,1,0.995,0.94194,0.38304,0.11044,0.90519,0.0011784,0.0011784,0.0011784
94,14655.5,0.5386,0.34322,0.97817,0.99728,1,0.995,0.94239,0.38199,0.10919,0.90468,0.0011586,0.0011586,0.0011586
95,14782.2,0.53259,0.34153,0.97484,0.99815,1,0.995,0.94302,0.38144,0.10927,0.90418,0.0011388,0.0011388,0.0011388
96,14908.7,0.53812,0.34334,0.97757,0.99848,1,0.995,0.94377,0.37967,0.10788,0.90384,0.001119,0.001119,0.001119
97,15035.4,0.53487,0.34107,0.97673,0.99896,1,0.995,0.94419,0.37985,0.10781,0.90374,0.0010992,0.0010992,0.0010992
98,15161.6,0.52977,0.33214,0.97386,0.99908,1,0.995,0.94402,0.37998,0.10804,0.90363,0.0010794,0.0010794,0.0010794
99,15288.3,0.52954,0.33616,0.9714,0.99654,0.99943,0.995,0.9441,0.37967,0.11238,0.90336,0.0010596,0.0010596,0.0010596
100,15414.9,0.52894,0.34026,0.97295,0.99922,1,0.995,0.9448,0.38099,0.10843,0.90351,0.0010398,0.0010398,0.0010398
101,15542.1,0.5286,0.3369,0.97391,0.99867,1,0.995,0.9444,0.38146,0.10822,0.90352,0.00102,0.00102,0.00102
102,15665.3,0.52462,0.3339,0.97262,0.99772,0.99986,0.995,0.94495,0.38136,0.10977,0.90343,0.0010002,0.0010002,0.0010002
103,15789.6,0.52271,0.32987,0.9722,0.99841,1,0.995,0.94534,0.38001,0.10813,0.90293,0.0009804,0.0009804,0.0009804
104,15913.5,0.52255,0.32834,0.97311,0.99554,0.99913,0.995,0.94483,0.37847,0.11189,0.90214,0.0009606,0.0009606,0.0009606
105,16037,0.51913,0.33253,0.96925,0.99273,0.99788,0.995,0.94398,0.37795,0.11624,0.89988,0.0009408,0.0009408,0.0009408
106,16160.5,0.51881,0.33532,0.96918,0.9967,0.9994,0.995,0.94541,0.37864,0.10901,0.90213,0.000921,0.000921,0.000921
107,16283.8,0.51556,0.33126,0.96894,0.99717,0.9941,0.995,0.94516,0.3792,0.11523,0.90206,0.0009012,0.0009012,0.0009012
108,16406.9,0.51867,0.33146,0.96957,0.99769,1,0.995,0.94607,0.37824,0.10809,0.90148,0.0008814,0.0008814,0.0008814
109,16530.3,0.51316,0.3288,0.96298,0.99558,0.99484,0.995,0.94376,0.37817,0.11785,0.90135,0.0008616,0.0008616,0.0008616
110,16653.4,0.51535,0.33082,0.96927,0.99625,1,0.995,0.94261,0.37782,0.11525,0.90106,0.0008418,0.0008418,0.0008418
111,16776.6,0.50991,0.32738,0.96543,0.99378,0.9988,0.995,0.94393,0.3775,0.11267,0.90065,0.000822,0.000822,0.000822
112,16899.5,0.50776,0.33063,0.96971,0.99832,1,0.995,0.94381,0.3779,0.1086,0.90043,0.0008022,0.0008022,0.0008022
113,17023.4,0.50565,0.32412,0.96565,0.99847,1,0.995,0.94332,0.37692,0.10854,0.9,0.0007824,0.0007824,0.0007824
114,17147.1,0.50272,0.327,0.96403,0.99594,0.99871,0.995,0.94251,0.37623,0.11251,0.89931,0.0007626,0.0007626,0.0007626
115,17270.6,0.50637,0.32549,0.96614,0.99732,1,0.995,0.94236,0.37588,0.11309,0.89881,0.0007428,0.0007428,0.0007428
116,17394.5,0.5055,0.3246,0.9642,0.99807,1,0.995,0.94235,0.3745,0.11131,0.89843,0.000723,0.000723,0.000723
117,17518.3,0.5032,0.32791,0.96466,0.99859,1,0.995,0.9425,0.37435,0.11297,0.8979,0.0007032,0.0007032,0.0007032
118,17642,0.50187,0.31938,0.96139,0.99836,1,0.995,0.94322,0.3739,0.11607,0.89749,0.0006834,0.0006834,0.0006834
119,17764.9,0.50011,0.32076,0.96122,0.99859,0.99475,0.995,0.94298,0.37313,0.11873,0.89711,0.0006636,0.0006636,0.0006636
120,17889.1,0.49611,0.32284,0.9608,0.99498,0.9986,0.995,0.9421,0.37077,0.1245,0.89458,0.0006438,0.0006438,0.0006438
121,18013,0.49569,0.32381,0.96187,0.99817,1,0.995,0.94189,0.37151,0.12146,0.89441,0.000624,0.000624,0.000624
122,18135.9,0.49154,0.31641,0.95788,0.99705,0.9981,0.995,0.9416,0.37057,0.12503,0.894,0.0006042,0.0006042,0.0006042
123,18260.2,0.4909,0.32092,0.95719,0.99819,0.99951,0.995,0.94171,0.3695,0.13102,0.8937,0.0005844,0.0005844,0.0005844
124,18383.6,0.48752,0.31756,0.95654,0.99088,0.98648,0.99398,0.94073,0.37081,0.18373,0.89351,0.0005646,0.0005646,0.0005646
125,18507,0.48824,0.31839,0.95832,0.95993,0.98307,0.96649,0.91389,0.37032,0.34973,0.89334,0.0005448,0.0005448,0.0005448
126,18631.1,0.48945,0.3178,0.95693,0.91689,0.9818,0.91786,0.86929,0.36859,0.73798,0.8929,0.000525,0.000525,0.000525
127,18754.8,0.48636,0.32047,0.95834,0.88817,0.98758,0.89047,0.84362,0.36796,1.43506,0.89248,0.0005052,0.0005052,0.0005052
128,18879.4,0.48483,0.31328,0.95338,0.87604,0.98227,0.87403,0.82802,0.36739,2.56012,0.89201,0.0004854,0.0004854,0.0004854
129,19003.3,0.4832,0.3144,0.95532,0.87174,0.98264,0.86923,0.82421,0.368,4.07439,0.89172,0.0004656,0.0004656,0.0004656
130,19126.7,0.48259,0.31357,0.95414,0.86636,0.99909,0.86483,0.82015,0.36783,6.12065,0.8921,0.0004458,0.0004458,0.0004458
131,19250.9,0.47885,0.3133,0.95582,0.86385,0.98927,0.86119,0.81756,0.36864,9.06934,0.89176,0.000426,0.000426,0.000426
132,19373.7,0.47899,0.30936,0.95335,0.86114,0.99373,0.85905,0.81601,0.36849,13.2995,0.89139,0.0004062,0.0004062,0.0004062
133,19497.7,0.47849,0.31278,0.95521,0.8595,1,0.85743,0.81453,0.36907,18.4789,0.89174,0.0003864,0.0003864,0.0003864
134,19621.6,0.47045,0.30314,0.95038,0.85909,1,0.8564,0.81389,0.36852,24.6908,0.89152,0.0003666,0.0003666,0.0003666
135,19745,0.47846,0.31123,0.95269,0.85808,1,0.85551,0.81285,0.36812,32.6186,0.89108,0.0003468,0.0003468,0.0003468
136,19868.4,0.48,0.31482,0.95438,0.8571,0.99969,0.85469,0.81285,0.36798,42.9755,0.89096,0.000327,0.000327,0.000327
137,19992.2,0.48266,0.31434,0.95747,0.8567,0.99632,0.85418,0.81263,0.36768,55.0356,0.89058,0.0003072,0.0003072,0.0003072
138,20115.3,0.47108,0.30649,0.94878,0.85606,0.99594,0.85384,0.81225,0.36717,69.0031,0.89055,0.0002874,0.0002874,0.0002874
139,20238.4,0.47135,0.30978,0.95279,0.85531,1,0.85362,0.81219,0.36691,84.8781,0.89045,0.0002676,0.0002676,0.0002676
140,20362.2,0.47286,0.31145,0.95035,0.85477,1,0.85349,0.81146,0.36727,103.862,0.89032,0.0002478,0.0002478,0.0002478
141,20484.5,0.36839,0.1119,0.91927,0.85379,0.98784,0.85195,0.81049,0.36558,127.817,0.88996,0.000228,0.000228,0.000228
142,20605.8,0.35919,0.11082,0.91842,0.85182,0.99416,0.85334,0.81172,0.36542,151.979,0.88955,0.0002082,0.0002082,0.0002082
143,20727.3,0.35775,0.10744,0.91757,0.84933,0.98532,0.8533,0.81131,0.36433,167.952,0.88849,0.0001884,0.0001884,0.0001884
144,20848.2,0.35684,0.10587,0.91882,0.84039,0.98717,0.85327,0.81171,0.36428,184.556,0.88801,0.0001686,0.0001686,0.0001686
145,20968.3,0.35236,0.1065,0.91371,0.84124,0.99387,0.85326,0.81181,0.36388,193.615,0.88773,0.0001488,0.0001488,0.0001488
146,21088.7,0.35075,0.10538,0.9137,0.8425,1,0.85325,0.81235,0.36317,201.196,0.88747,0.000129,0.000129,0.000129
147,21209.7,0.34823,0.10444,0.91184,0.84217,1,0.85302,0.81142,0.3629,207.756,0.88705,0.0001092,0.0001092,0.0001092
148,21330.1,0.34687,0.10296,0.9099,0.84325,1,0.85301,0.81244,0.36245,211.34,0.88671,8.94e-05,8.94e-05,8.94e-05
149,21450.8,0.34082,0.10227,0.90708,0.84308,1,0.85301,0.81223,0.362,212.769,0.88641,6.96e-05,6.96e-05,6.96e-05
150,21572.3,0.34526,0.10316,0.91111,0.84412,0.99287,0.85301,0.81081,0.36133,214.229,0.88614,4.98e-05,4.98e-05,4.98e-05
